issue,fix-commit,tests
TIKA-209,8c130bad35f52ddfa7df2252243d86168d29a41e,"[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-core/src/test/java/org/apache/tika/language/TestNGramProfile.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-core/src/test/java/org/apache/tika/language/TestLanguageIdentifier.java']"
TIKA-209,12ec68e67fecb7008f0fa2dab9c1679cdccf6cf5,[]
TIKA-210,60c9b0e05868fb786180b3d7403537b2e66dce03,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\src/test/java/org/apache/tika/parser/html/HtmlParserTest.java']
TIKA-211,035d8d3dad64179c6eda295233f064d0e0310f1b,[]
TIKA-214,f49c4bdbe322506c6ddbf301cf842ac14eac3d67,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/microsoft/ExcelParserTest.java']
TIKA-217,6ef60c2efd0c2607c400ac8b9e66d605a4ea2267,[]
TIKA-217,4abeb2d772fc33aebdcc06ca0dfadfb660055cc0,[]
TIKA-217,d34e55056c344bcc561e4213058f1d4fd8b87139,[]
TIKA-217,23e3bae9d9d6ecfe035939e179e1dd3fd69a1539,[]
TIKA-225,fd0470f664576fdfffe2cafd3f90f924021df38b,[]
TIKA-225,368e6fafc5bce2abd9efeba0800d098a876cbcfc,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-core/src/test/java/org/apache/tika/mime/MimeDetectionTest.java']
TIKA-227,6be2c4ab2f32e036b7e48539087c07b104ee71ea,[]
TIKA-240,f04edc5024a25ce5ce6d178fd8027b62ecc58b40,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/txt/TXTParserTest.java']
TIKA-244,74947b6cf59fafedef133bebee40d442b4559972,[]
TIKA-250,5099b33a3552b1dbcb2b046057910f6d8edf3ab6,[]
TIKA-256,0486ffb7be6bb98ba1a6d9737865789e09f9e175,[]
TIKA-257,3d8a58aa28f15e17c21158d096e24b1f65e750cf,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/mime/TestMimeTypes.java']
TIKA-258,15c83430df273aae65170d25ed95f4df62858de2,[]
TIKA-262,ace49289168ed9367a6ed48a59f37719a9a544b9,[]
TIKA-267,00ae4b3c4ef6503086aac939ff023dc57c85137f,[]
TIKA-268,a09f5af5dd6e5b81bf7d3393851cc65f4855c619,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/html/HtmlParserTest.java']
TIKA-273,4307560767072216358f604fb9147f947c7dac85,[]
TIKA-274,296e279858af9112d5500cc9a828a2d87d3218f5,[]
