project name,valid,type,issue,module,commit,parent,testcase,has_test_annotation,traces,bugged_components,description,extra_description
commons-lang_0,False,Auto-generated,LANG-915,commons-lang,8ea0c0284810bd6ec00f608be31abd20dbd4b72b,e42dad3901e2fd6dcb0388bab79719cb0071187f,org.apache.commons.lang3.LocaleUtils_ESTest#test0,True,[],[u'org.apache.commons.lang3.LocaleUtils'],testcase genrated runtime error when tested,"org.evosuite.runtime.mock.java.lang.MockIllegalArgumentException: Invalid locale format: und
	at org.apache.commons.lang3.LocaleUtils.toLocale(LocaleUtils.java:133)
	at org.apache.commons.lang3.LocaleUtils_ESTest.test0(LocaleUtils_ESTest.java:23)
"
commons-lang_0,False,Auto-generated,LANG-917,commons-lang,be370cd0ef134bb44fde733e4ee91661a012dae5,a93703d002bc4850e7adcdfc9b51664fca7b8836,org.apache.commons.lang3.text.ExtendedMessageFormat_ESTest#notGeneratedAnyTest,True,[],[u'org.apache.commons.lang3.text.ExtendedMessageFormat'],testcase passed in parent,
commons-lang_0,False,Auto-generated,LANG-920,commons-lang,a9ae686ec85e4fc326f56a23de8cd0481f7d9c89,06df5cbe7c1f1df2651aabe15cb10228b474e01c,org.apache.commons.lang3.ArrayUtils_ESTest#notGeneratedAnyTest,True,[],[u'org.apache.commons.lang3.ArrayUtils'],testcase passed in parent,
commons-lang_0,False,Auto-generated,LANG-928,commons-lang,6ea7f2f7afcd6d60d62a5cd1392feda3471fc666,38f8b88528487efc4e53ac6c91f08fbaaa2a82d6,org.apache.commons.lang3.text.translate.OctalUnescaper_ESTest#test0,True,[],[u'org.apache.commons.lang3.text.translate.OctalUnescaper'],testcase passed in parent,
commons-lang_0,False,Auto-generated,LANG-934,commons-lang,c288d296018a48eb88526b05b62419170cc63a6b,030f0d3d404a912cc1d055f5ff323917f40a2ea9,org.apache.commons.lang3.reflect.FieldUtils_ESTest#notGeneratedAnyTest,True,[],"[u'org.apache.commons.lang3.reflect.FieldUtils', u'org.apache.commons.lang3.reflect.testbed.StaticContainer']",testcase passed in parent,
commons-lang_0,False,Auto-generated,LANG-936,commons-lang,8cd2339a9788cf2c6e44b6761d3a19259fbe1df3,3a8595f1a57759044be301fc76a2300b7f2efe66,org.apache.commons.lang3.StringUtils_ESTest#notGeneratedAnyTest,True,[],[u'org.apache.commons.lang3.StringUtils'],testcase passed in parent,
commons-lang_0,False,Auto-generated,LANG-961,commons-lang,2eecc96a53bb3b9da49bae03a18388d0f23853e7,8c04a90ec58a09cc4e0857ebba5bccc33ee84890,org.apache.commons.lang3.reflect.FieldUtils_ESTest#notGeneratedAnyTest,True,[],[u'org.apache.commons.lang3.reflect.FieldUtils'],testcase passed in parent,
commons-lang_0,False,Auto-generated,LANG-972,commons-lang,5a509030a946646780e963b9f492a4eaff734116,159415855d06d186e86a70f3d4aba8c2e96d4b34,org.apache.commons.lang3.math.NumberUtils_ESTest#notGeneratedAnyTest,True,[],[u'org.apache.commons.lang3.math.NumberUtils'],testcase passed in parent,
commons-lang_0,False,Auto-generated,LANG-977,commons-lang,ab1424015085472b2d3865668e370aec8a102331,408462e80d57be420c153b67f69110e27776d4eb,org.apache.commons.lang3.StringEscapeUtils_ESTest#test0,True,[],"[u'org.apache.commons.lang3.StringEscapeUtils', u'org.apache.commons.lang3.text.translate.CharSequenceTranslator']",testcase passed in parent,
commons-lang_0,False,Auto-generated,LANG-977,commons-lang,ab1424015085472b2d3865668e370aec8a102331,408462e80d57be420c153b67f69110e27776d4eb,org.apache.commons.lang3.text.translate.CharSequenceTranslator_ESTest#test0,True,[],"[u'org.apache.commons.lang3.StringEscapeUtils', u'org.apache.commons.lang3.text.translate.CharSequenceTranslator']",testcase passed in parent,
