issue,commit,testcase,description
TIKA-107,fa6bb7e3c92145d29cd97820718ece69fd6ffd62,C:\Users\user\Code\Python\BugMiner\tested_project\tika\src\test\java\org\apache\tika\mime\MimeTypeTest.java#MimeTypeTest#testSetDescription,"Invalid, testcase is a part of file containing test case that generated compilation error"
TIKA-107,fa6bb7e3c92145d29cd97820718ece69fd6ffd62,C:\Users\user\Code\Python\BugMiner\tested_project\tika\src\test\java\org\apache\tika\mime\MimeTypeTest.java#MimeTypeTest#testSetSuperType,"Invalid, testcase is a part of file containing test case that generated compilation error"
TIKA-107,fa6bb7e3c92145d29cd97820718ece69fd6ffd62,C:\Users\user\Code\Python\BugMiner\tested_project\tika\src\test\java\org\apache\tika\mime\MimeTypesTest.java#MimeTypesTest#setUp,"Invalid, testcase is a part of file containing test case that generated compilation error"
TIKA-107,fa6bb7e3c92145d29cd97820718ece69fd6ffd62,C:\Users\user\Code\Python\BugMiner\tested_project\tika\src\test\java\org\apache\tika\mime\MimeTypesTest.java#MimeTypesTest#testForName,"Invalid, testcase is a part of file containing test case that generated compilation error"
TIKA-107,fa6bb7e3c92145d29cd97820718ece69fd6ffd62,C:\Users\user\Code\Python\BugMiner\tested_project\tika\src\test\java\org\apache\tika\mime\MimeTypesTest.java#MimeTypesTest#testAddAlias,"Invalid, testcase is a part of file containing test case that generated compilation error"
TIKA-107,fa6bb7e3c92145d29cd97820718ece69fd6ffd62,C:\Users\user\Code\Python\BugMiner\tested_project\tika\src\test\java\org\apache\tika\mime\MimeTypesTest.java#MimeTypesTest#testSuperType,"Invalid, testcase is a part of file containing test case that generated compilation error"
TIKA-107,fa6bb7e3c92145d29cd97820718ece69fd6ffd62,C:\Users\user\Code\Python\BugMiner\tested_project\tika\src\test\java\org\apache\tika\mime\MimeTypesTest.java#MimeTypesTest#testSubTypes,"Invalid, testcase is a part of file containing test case that generated compilation error"
TIKA-107,fa6bb7e3c92145d29cd97820718ece69fd6ffd62,C:\Users\user\Code\Python\BugMiner\tested_project\tika\src\test\java\org\apache\tika\mime\MimeTypesTest.java#MimeTypesTest#testIsDescendantOf,"Invalid, testcase is a part of file containing test case that generated compilation error"
TIKA-107,fa6bb7e3c92145d29cd97820718ece69fd6ffd62,C:\Users\user\Code\Python\BugMiner\tested_project\tika\src\test\java\org\apache\tika\mime\MimeTypesTest.java#MimeTypesTest#testCompareTo,"Invalid, testcase is a part of file containing test case that generated compilation error"
TIKA-107,fa6bb7e3c92145d29cd97820718ece69fd6ffd62,C:\Users\user\Code\Python\BugMiner\tested_project\tika\src\test\java\org\apache\tika\mime\MimeTypesTest.java#MimeTypesTest#testGetMimeType_byteArray,"Invalid, testcase is a part of file containing test case that generated compilation error"
TIKA-107,fa6bb7e3c92145d29cd97820718ece69fd6ffd62,C:\Users\user\Code\Python\BugMiner\tested_project\tika\src\test\java\org\apache\tika\mime\MimeTypesTest.java#MimeTypesTest#testGetMimeType_InputStream,"Invalid, testcase is a part of file containing test case that generated compilation error"
TIKA-107,fa6bb7e3c92145d29cd97820718ece69fd6ffd62,C:\Users\user\Code\Python\BugMiner\tested_project\tika\src\test\java\org\apache\tika\mime\PatternsTest.java#PatternsTest#setUp,"Invalid, testcase is a part of file containing test case that generated compilation error"
TIKA-107,fa6bb7e3c92145d29cd97820718ece69fd6ffd62,C:\Users\user\Code\Python\BugMiner\tested_project\tika\src\test\java\org\apache\tika\mime\PatternsTest.java#PatternsTest#testAdd,"Invalid, testcase is a part of file containing test case that generated compilation error"
TIKA-107,fa6bb7e3c92145d29cd97820718ece69fd6ffd62,C:\Users\user\Code\Python\BugMiner\tested_project\tika\src\test\java\org\apache\tika\mime\PatternsTest.java#PatternsTest#testMatches,"Invalid, testcase is a part of file containing test case that generated compilation error"
