project name,issue,commit,module,time,description
commons-compress_0,COMPRESS-278,1ea7e01eb6776071eddf60f7783d650ec7d60e74,commons-compress,256.0620000362396,Success
commons-compress_0,COMPRESS-279,ddb5fd6d8e4d5fa9f7fa659c93fb6eb04f238689,commons-compress,259.65499997138977,Success
commons-compress_0,COMPRESS-289,23d15f6cc39e71b31058272849c961fcca6adfe1,commons-compress,268.5199999809265,Unexpected
commons-compress_0,COMPRESS-289,dd71368488dd8e0fb0bf8f7aabd4f702502d5615,commons-compress,275.17599987983704,Success
commons-compress_0,COMPRESS-301,f8bf45444c49053a92f6f560c5008d5ac43aa27f,commons-compress,229.74399995803833,Unexpected
commons-compress_0,COMPRESS-301,915fdd3fcb55f81fbb4f63f9f9752c329488c524,commons-compress,266.518000125885,Success
commons-compress_0,COMPRESS-306,d50feb67569fb5881b8a2ff5996f656c5f207c2e,commons-compress,472.2980000972748,Unexpected
commons-compress_0,COMPRESS-309,5cf68bdc46c7bcc0fc5eb3cacd1c84514ef552cf,commons-compress,216.49699997901917,Unexpected
commons-compress_0,COMPRESS-314,3c4a09bf28e7cd600b919b8c799fbbfd19a94c0b,commons-compress,233.1380000114441,Unexpected
commons-compress_0,COMPRESS-316,b72b5c716ac18150396d05988d9eab745bea02b9,commons-compress,320.88899993896484,Unexpected
commons-compress_0,COMPRESS-321,e6e24766377e705e89358fb9cf6253e2e9e645db,commons-compress,154.54300022125244,Unexpected
commons-compress_0,COMPRESS-324,1930eed89459d1ea726762e362143a5aa2ccaeb4,commons-compress,254.65900015830994,Unexpected
commons-compress_0,COMPRESS-326,a2cda30be14b3da01cbbbedc41b70daf6d88da8b,commons-compress,245.8880000114441,Unexpected
commons-compress_0,COMPRESS-331,1fb42987de0d21c9b6777272320b64230eadb277,commons-compress,270.9800000190735,Success
commons-compress_0,COMPRESS-335,7250daa429020181bb5a4c40d1aaa169631b8496,commons-compress,267.79299998283386,Success
commons-compress_0,COMPRESS-348,d0501577d37b594c3ff59a39ac211f7a1b170fa7,commons-compress,270.33899998664856,Success
commons-compress_0,COMPRESS-351,11840dfde044fec90b0cb4a715ce9d213acea3ca,commons-compress,276.3199999332428,Success
commons-compress_0,COMPRESS-355,19a620c904587dc0397b43bfe9071ff60033c097,commons-compress,292.654000043869,Success
commons-compress_0,COMPRESS-356,823cdee9b18508e9e51913d110a20a406f55582b,commons-compress,348.0130000114441,Success
commons-compress_0,COMPRESS-363,52dd5908e374973d69c51856b74d4d93d591c90a,commons-compress,289.72900009155273,Success
commons-compress_0,COMPRESS-367,f015344879f1bc3505bc616fc7ae517cf9f60838,commons-compress,2152.3689999580383,Generated no tests
commons-compress_0,COMPRESS-379,c59fc43c527610ae18d7596eb191817ce674cb29,commons-compress,351.59099984169006,Success
commons-compress_0,COMPRESS-382,4e442bb44280243f6e0e72d845fa8275d665ca84,commons-compress,434.70499992370605,Success
commons-compress_0,COMPRESS-382,0e8ff9c44058afbca9c9126a8feebe41cd682626,commons-compress,415.2630000114441,Unexpected
commons-compress_0,COMPRESS-382,b10528a62e51b2c5fdc0c4b7884cc93f03f8ce96,commons-compress,486.88700008392334,Unexpected
commons-compress_0,COMPRESS-382,7d73baf10e435fcaa4927495afc185fb473c416b,commons-compress,418.59600019454956,Unexpected
commons-compress_0,COMPRESS-382,70594bcaff1d553cbd35312bb63a33bcba0680d3,commons-compress,435.970999956131,Success
commons-compress_0,COMPRESS-394,d75b89856ef29bbec6784cd6aa714eafe0eeb312,commons-compress,334.2650001049042,Success
commons-compress_0,COMPRESS-412,6f379134ae1807cd404ed6c9579707e5dc6a6df0,commons-compress,257.4520001411438,Success
commons-compress_0,COMPRESS-416,8251cd68f4db4bd56d88646e10d34ef4a1fdf90f,commons-compress,272.84099984169006,Success
commons-compress_0,COMPRESS-416,cd1d329dba95dae161317c123269c24282001a66,commons-compress,264.15000009536743,Success
commons-compress_0,COMPRESS-416,d0595b7121f57f1f49fe7fdc384479dd73ad64f5,commons-compress,247.42000007629395,Success
commons-compress_0,COMPRESS-436,c66db899cb061c79934986f0efa19a50ca33703f,commons-compress,321.36500000953674,Success
commons-compress_0,COMPRESS-447,bd3e6cf204f249c2d60eca2268c8b9f402149f1b,commons-compress,277.33000016212463,Success
commons-compress_0,COMPRESS-451,0aeda4fcc3c6de7109acd8cf78f8779654b9f771,commons-compress,303.80099987983704,Success
commons-compress_0,COMPRESS-459,72bfc1247553bdd2711d6bb27a7179be86ded4f1,commons-compress,320.6380000114441,Success
commons-compress_0,COMPRESS-459,9e80104befc54daaa097870b857e1bc334521490,commons-compress,474.7220001220703,Success
commons-compress_0,COMPRESS-462,ba53647bf0fa16501445c7ec50d0ffa4a8288eff,commons-compress,302.1710000038147,Success
commons-compress_0,COMPRESS-463,a41ce6892cb0590b2e658704434ac0dbcb6834c8,commons-compress,329.0649998188019,Success
commons-compress_0,COMPRESS-469,fd69d8ca2212d373a5a8f220530e8c0fa17ddf3b,commons-compress,523.0759999752045,Success
